Row Labels,Cat 0,Cat 1,Cat 2,Cat 3,Cat 4,Cat 5,Cat 6,Cat 7,Cat 8,Cat 9
1,9,5,4,1,1,6,0,2,3,7
2,9,4,1,6,0,0,2,5,7,3
3,6,5,4,9,2,8,1,0,7,3
4,9,1,0,8,4,6,5,2,3,7
5,6,4,5,2,9,0,8,1,7,3
6,4,9,0,2,1,6,8,5,3,7
7,2,0,1,6,9,4,8,5,3,7
8,1,9,8,0,6,4,5,2,3,7
9,9,1,4,8,3,6,0,5,2,7
10,1,0,2,5,9,3,6,8,4,7
11,1,9,2,7,0,4,8,6,3,3
12,1,9,4,2,8,6,0,5,7,3
13,1,9,2,8,6,4,0,5,7,3
14,1,2,9,0,8,7,6,4,5,3
15,1,9,2,8,6,0,4,5,7,3
16,1,9,2,8,6,0,5,4,3,7
17,1,2,9,8,6,7,5,4,0,3
18,1,9,2,0,6,4,8,3,5,7
19,1,9,2,0,6,8,5,3,4,7
20,1,2,9,8,0,4,6,5,7,3
21,9,1,2,4,0,8,6,5,3,3
22,2,7,1,6,9,3,5,4,8,0
23,2,9,6,4,7,5,3,1,8,0
24,2,1,9,5,6,3,8,0,0,4
25,9,1,4,8,2,6,0,3,5,7
26,9,1,4,8,6,0,2,3,5,7
27,1,9,2,0,8,4,6,3,7,5
28,1,9,4,8,2,0,6,5,3,7
29,9,1,4,6,0,8,2,3,7,5
30,9,4,0,1,8,6,2,5,3,7
31,9,1,4,6,8,0,2,3,5,7
32,4,9,1,0,8,6,2,3,5,7
33,9,1,4,0,8,2,6,3,5,7
34,9,6,4,2,0,1,8,5,3,7
35,0,2,5,4,1,9,6,3,8,7
36,9,1,6,3,8,0,4,2,5,7
37,9,1,8,3,6,4,0,2,5,7
38,1,9,8,6,0,4,3,5,2,7
39,1,2,9,0,4,7,8,6,3,5
40,9,1,0,4,8,6,2,5,3,7
41,9,1,4,0,8,2,6,5,3,3
42,1,2,0,9,8,6,4,7,5,3
43,1,2,9,0,8,6,4,5,3,7
44,9,1,4,8,6,2,0,5,3,7
45,1,9,2,0,8,6,4,5,7,3
46,1,9,0,8,2,6,4,3,5,7
47,9,1,4,8,0,2,6,5,3,7
48,9,4,1,8,6,0,2,5,3,7
49,0,1,1,8,6,4,5,2,3,7
50,1,9,0,2,6,4,8,5,3,7
51,9,1,0,4,8,6,2,5,3,7
52,9,4,6,8,1,3,5,7,0,2
53,1,9,2,8,0,6,4,5,7,3
54,1,9,2,8,6,0,0,4,5,7
55,1,9,2,8,0,6,4,3,5,7
56,4,9,1,6,8,2,5,0,3,7
57,1,9,0,2,2,6,4,3,5,7
58,1,9,8,6,2,4,0,3,5,7
59,1,9,2,8,0,4,6,5,3,7
60,4,9,1,6,8,2,0,5,7,3
61,1,9,4,2,0,8,6,3,5,7
62,9,1,4,8,0,6,2,5,3,7
63,1,9,4,8,0,2,2,3,5,7
64,1,9,4,2,0,8,6,5,7,3
65,9,4,1,8,6,5,0,2,3,7
66,9,1,0,0,2,6,8,5,7,3
67,1,9,2,0,4,8,5,3,3,7
68,9,1,0,2,2,6,8,3,5,7
69,1,9,2,0,8,3,4,6,5,7
70,1,9,3,2,0,8,4,6,5,7
71,1,9,2,4,7,8,0,6,5,3
72,1,2,9,7,4,0,3,6,8,5
73,9,1,4,2,8,6,5,0,7,3
74,5,9,6,2,1,8,3,4,0,7
75,1,9,4,2,8,6,5,0,3,3
76,1,2,9,7,6,8,0,4,3,5
77,1,9,8,0,4,3,3,2,5,7
78,1,2,9,8,7,0,4,6,3,5
79,2,7,1,3,9,8,6,5,0,4
80,1,2,9,7,4,8,0,6,5,3
81,1,2,9,3,6,0,8,5,7,4
82,1,9,2,0,4,5,7,8,6,3
83,1,9,2,0,8,6,7,4,5,3
84,1,9,2,6,8,5,3,4,7,0
85,1,9,6,0,8,2,4,5,3,7
86,1,2,9,0,8,5,6,4,3,3
87,1,9,2,0,8,5,5,7,4,3
88,9,1,6,8,2,4,5,0,3,7
89,9,1,4,6,8,5,0,2,3,7
90,9,1,4,2,5,6,0,8,7,3
91,9,8,1,6,4,0,3,2,2,7
92,1,9,2,8,6,0,5,4,7,3
93,1,9,8,2,0,6,4,3,5,7
94,9,1,6,4,8,2,5,0,3,7
95,1,9,4,2,8,6,7,0,5,3
96,1,2,9,8,6,0,4,5,3,7
97,9,4,6,8,1,2,5,0,7,3
98,1,9,2,8,6,4,0,5,3,7
99,2,1,9,6,7,8,0,5,4,3
100,1,9,2,0,6,5,8,4,7,3
101,6,1,9,2,5,8,4,0,0,7
102,6,5,1,9,0,8,3,4,2,7
103,1,0,6,3,8,9,2,5,4,7
104,4,9,1,0,6,8,2,3,5,7
105,1,9,0,2,6,8,5,4,3,7
106,6,8,1,9,5,0,4,2,3,7
107,1,9,0,8,6,2,3,4,5,7
108,4,6,9,2,5,0,8,1,3,7
109,9,1,4,8,0,6,2,5,3,7
110,9,1,6,2,8,5,4,0,3,7
111,9,6,1,8,4,3,2,5,0,7
112,4,2,7,1,9,6,8,0,3,5
113,9,1,2,4,5,0,6,8,7,3
114,9,1,4,8,2,6,5,0,3,7
115,1,9,2,4,6,6,0,5,3,7
116,9,4,1,6,8,5,2,0,3,7
117,9,1,6,8,4,2,3,0,5,7
118,4,9,1,2,7,3,0,6,6,5
119,1,9,0,8,4,6,5,3,2,7
120,9,1,4,6,0,8,2,5,3,7
121,1,9,2,6,4,8,0,3,7,5
122,9,1,4,0,8,5,6,2,3,7
123,1,9,3,8,0,4,6,5,2,7
124,9,4,0,1,6,8,2,3,5,7
125,9,1,4,0,6,3,8,2,5,7
